reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A29OXVQRZ154KX,6073894996,Don Powell,"[3, 4]","This is a nice charger but you can tell it was made cheaply in China.  When it is charging the phone, the car radio gets LOTS of static.  Not so much that I have to stop charging but like when you are near power lines and the radio station is far away.So, no RF shielding.I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars.",4,Solid Charger but RF noisy,1363737600,"03 20, 2013"
A2U5NF3IH4YVKH,6073894996,ebony winslow,"[0, 0]",After a week only one side works,2,Two Stars,1404345600,"07 3, 2014"
A34XJA5OE33FP1,6073894996,Hec,"[0, 0]",Yo get exactly what you order in a timely fashion. And the item is just as described. Great buy if you ask me,4,Ok,1360195200,"02 7, 2013"
A2DZO8MWVM4WKD,6073894996,"Hekkenschtze ""Hekkenschutze""","[0, 0]","This is a terribly awesome product in my Subaru's console.  Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.",5,USB slots in a blue light that never quits,1384041600,"11 10, 2013"
A3VCIEAN3NYO12,6073894996,"Jason M. Faulkner ""JMF""","[2, 3]","I've bough a munch of different things like this over the years. Most wouldn't stay in the jack, or would give out after a few days. This one is GREAT!",5,good,1365292800,"04 7, 2013"
ASRM2FSLDPXVX,6073894996,jose,"[0, 0]","Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it's the same problem. Cheap and bad quality.",1,"don't waste your money, pay more and buy one at Walgreen s.",1398729600,"04 29, 2014"
A31XHOCG62WJH4,6073894996,"Jose v ""Jose velez""","[0, 0]",it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,5,charger,1381795200,"10 15, 2013"
A2I7NEVKSJ5UWR,6073894996,"Jude Chukwuma Benyeogor ""jcb""","[0, 0]","It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job",4,good job,1395878400,"03 27, 2014"
A30A04FS5YAES3,6073894996,Levi Bowen,"[0, 0]",Didn't last very long. Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last.,2,Works for a while.,1377216000,"08 23, 2013"
A2Y937AV46ULWQ,6073894996,Mayra,"[0, 0]","excellent product, works great , have easy handling, and good quality as it is announced. reached as is shown time and in very good condition thank you very much for everything",4,good,1397347200,"04 13, 2014"
A2KP65JS3YY5VL,6073894996,"Michael A. Rowley ""Nick Danger""","[0, 0]",Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling,5,Works great. Very inexpensive,1358035200,"01 13, 2013"
A2L6BH090TX9O7,6073894996,M. Johns,"[0, 0]",great charger for 2 devices and i haven't had any problems so far 3yrs now,5,Five Stars,1375401600,"08 2, 2013"
ABDDX2PV61RMX,6073894996,MS.J,"[0, 0]",Purchased product about many a month ago. Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%,4,Dual USB Port Car Charger,1354147200,"11 29, 2012"
A9VL5ER8D0K2Z,6073894996,Owner,"[0, 0]","I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.",2,not high power,1336176000,"05 5, 2012"
A2NTV6MHFXP4M,6073894996,Patricia Hagan,"[0, 0]","I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it's cheap, small and compact",5,works,1360281600,"02 8, 2013"
A10W7D1W5M4CHE,6073894996,Paul Rowland,"[0, 0]",Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.,5,USB Outlet,1359676800,"02 1, 2013"
A2B8HBZPIFYRV1,6073894996,pissed off,"[0, 0]","works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.",4,Good little charger,1390694400,"01 26, 2014"
A5A4374R8I7NB,6073894996,PWB Esq,"[1, 1]","I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.",2,"Works Fine, But It Died On ME",1340582400,"06 25, 2012"
A1OWZHEQ5UCSAN,6073894996,R. Baker,"[0, 0]","This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great value and easy on the wallet.",5,Great Dual Charger,1360195200,"02 7, 2013"
A25TQLMIAPI1T6,6073894996,Ronaldo,"[0, 0]","I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system",1,Be careful,1403395200,"06 22, 2014"
A382RYVVZOJ8PX,6073894996,"ruthptb ""Ruth Root""","[0, 1]",This portable USB Port car charger is a must have for people on the go.  Pair this with an extra or spare cord and you are good to go!,5,A must have for people on the go,1365120000,"04 5, 2013"
A3GTTANAYUVSDY,6073894996,Ryan,"[0, 0]","I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!",4,Works best without location/GPS on device,1400803200,"05 23, 2014"
A16EFGT2PLZT34,6073894996,"S. Coward ""MrsCoward""","[0, 0]",Bought so we could charge to phones at the same time while in the car from the same port.  Works.,4,Works,1378252800,"09 4, 2013"
A2Q7SZISE1RXQQ,6073894996,Tore,"[0, 0]",I received this product before I expected. It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D). It is a good deal because It is not easy to find something like this for this price,4,Pretty good,1350518400,"10 18, 2012"
A8VI7KMUHI7ZH,6073894996,Voiceover Guy,"[0, 0]","I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They're great. They really do work, and they do deliver 2.1 and 1.0 power as they say they will do. They do the job.You wouldn't expect much QC for a $2 electrical product, but they each work just fine.They don't last forever-- about a year or two of active daily use seems about par, then they suddenly die. So do have some replacements on hand. At this price, no problem.Yes, they work with both my iPhone and iPad. Also with every other USB device I've needed to charge.The LED light that indicates you are plugged in correctly is very helpful.These are great for rental cars and travel. If you leave one behind, hey, it's only $2.I'm totally pleased with these clever little gems. No complaints. I wouldn't be without a couple, especially for travel.Hope this is helpful. Happy trails, all.",5,"Great DC Charger, Works Great, $2 Value",1402790400,"06 15, 2014"
A3HWOEJ6BK7B7M,6073894996,Wei,"[0, 0]",good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer,5,good product at low price,1399420800,"05 7, 2014"
A347LTN4RU2FL1,6073894996,Yeoman Johnson,"[0, 0]","I use this in my car to charge my phone and my iPod as needed. It works well, but the bright blue light can be annoying when driving at night. Overall, a very good deal.",4,Works as advertised,1359417600,"01 29, 2013"
A2G38P52ZF5TTH,7532385086,Allana,"[3, 3]",I love this case! It's so pretty.And I love the way the case feels to the touch because of the rubber. Very happy!,5,I recommend,1296604800,"02 2, 2011"
A3Q6C95EFP4FEX,7532385086,Brittany,"[0, 0]",The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything. It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.,3,Nice,1328140800,"02 2, 2012"
A2GHDKZBYXGAPY,7532385086,"C. Groves ""~The Connie""","[0, 0]","I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.  But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!",5,Perfect!,1342569600,"07 18, 2012"
A2Y33PMFKII0VR,7532385086,Grandma in NH,"[0, 0]",Another pretty phone case that I really love. I have many as I love t o change them around .thanks,5,Pretty,1360886400,"02 15, 2013"
A3S8BPAUQQLDKU,7532385086,Krystal,"[0, 0]","The case is not white, its more of a silver. It's still a very pretty case- it fit my phone perfectly. It took too long to arrive.",4,Not what I expected.,1354924800,"12 8, 2012"
AKUQOY3DJX96J,7532385086,Lisa Hall,"[0, 0]",Defintiely worth the price...You should order several.  Most cases are $15 and up especially at the cell phone stores.  I can't believe the mark up on these things!,4,Worth the price,1356652800,"12 28, 2012"
AARIXIQYNH38W,7532385086,Pen,"[0, 0]",This is a great case... It fit my phone perfectly and I still use it from time to time. Would recommend,5,Great,1369958400,"05 31, 2013"
A11FEJGJ2YK25Z,7532385086,Sunshine girl,"[0, 0]","Received this item very quickly. The design is even more vivid than expected. The cover is soft (rubberized) but durable. I have received many compliments. It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone.",5,better than expected!,1339718400,"06 15, 2012"
A2NSS0L3NIU6CN,7532385086,voidedlime,"[0, 0]",this cover makes an old phone look and feel new. I like that I can order covers for little money and snazzy up my phone.,4,htc evo cover,1347148800,"09 9, 2012"
A1PMGOX24BWDAZ,7887421268,0902virgo,"[0, 0]","I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.",2,Loved it at first,1344211200,"08 6, 2012"
A115GM0PI28KP5,7887421268,California Love,"[0, 0]","The color is more dark in person, and this isnt the best protection case. I get a lot of compliments on the case, and it was easy to put on.",4,Cute,1362614400,"03 7, 2013"
A2AOF16F78BQK6,7887421268,C. Paul Douglas,"[0, 0]",Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.,5,Simple and Attractive Protector,1376352000,"08 13, 2013"
A2LFBAQ1CPDWNY,7887421268,Davonne,"[0, 0]",The case is pretty good. It dose have some scratches on one side of the phone but its every little. Other then that i like it. Ive dropped my phone a few times since putting on the case and it didnt break or scratch. Ive gotten many complements on this case and over all it was worth the few bucks I spent.,4,Good Case,1337644800,"05 22, 2012"
A22PJG27JHKWPA,7887421268,ddmmt9,"[0, 0]",This case is afordable and yes it peels very easy but thats to be expected because its a dollor. I bought mine from Electromaster. It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for. its only a dollar so do not get your hopes up. it looks great but its for show not for protection. if you want your phone to be protected go the extra mile for an outter box,4,This case is exactly as described,1350950400,"10 23, 2012"
A2Y33PMFKII0VR,7887421268,Grandma in NH,"[0, 0]",This is one of my favorite cases I have this one on my phone I really love the color a lot.,5,Love it!,1360886400,"02 15, 2013"
A3J38WFKNT2MFX,7887421268,Kelly-Ann Johnson,"[0, 0]",It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again,2,Don't waste your money!,1373587200,"07 12, 2013"
A17E8FKH09XAY2,7887421268,kkkeown,"[0, 0]","This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.",1,bad experience,1341792000,"07 9, 2012"
A1C71EMHZRUWNT,7887421268,melisa lovewell,"[0, 0]",Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes.,5,Love it,1361232000,"02 19, 2013"
AJDJ6SQUDORP6,7887421268,"patricia t. ""patricia tolman""","[0, 0]","Received this in about a weeks time. Very nice actually considering how cheap the price was. It's a pink/purple with black leopard spots and has a very nice feel to it. I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers.",5,good deal,1319155200,"10 21, 2011"
A1Q8EBW9PB0H93,7887421268,Shelby Beaver,"[0, 0]",This case was by far the best case I bought for this phone.  It is very stylish and I received many compliments,5,stylish!,1400112000,"05 15, 2014"
AY9MQ4QNQDU5B,7887421268,"Super Mom! ""GA Peach""","[2, 2]","This is the cutest case EVER!  I love it because it was easy to apply.  I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched.  This case keeps my phone intact and protected at the same time...WOO HOO!!",5,SOOO CUTE AND AFFORDABLE!,1323388800,"12 9, 2011"
A3UFJDFSLI21AT,7887421268,xsi user,"[0, 0]",my daughter liked it for a few days and then i didnt see it anymore on the phone. Use your judgement on that one.,5,plastic with suede,1361318400,"02 20, 2013"
A205L2POTHUAR7,8199406933,Ana,"[0, 0]","very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!",4,Good charger!,1384128000,"11 11, 2013"
A2CCYTJQNBHFA0,8199406933,"Messy MakeUp Drawer ""Michelle MakeUp""","[0, 0]","This product arrived when promised and in the condition promised. It is a genuine Blackberry charger. It was brand new and worked perfectly. For the price, I don't think you can ask for much more than that!",5,"Great buy, great quality",1345852800,"08 25, 2012"
A1STLXG6FB22P2,8199406933,Natica C.,"[0, 0]",Great product. Use this with my Galaxy S4. At this price I bought 2 more. One for work and one to keep in the car incase I ever travel and forget my charger.,5,Great charger and great price,1384905600,"11 20, 2013"
AZOFNVDHKYKNL,8199406933,"Onir Pernia ""Onir Pernia""","[0, 0]","Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go. Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.",5,Great multipurpose charger!,1371600000,"06 19, 2013"
A1W8C6YKUV2DNK,8199406933,Tyler,"[0, 0]","I've had this charger well over a year now, and it still works perfectly.  Most chargers would have broken by now.  The folding blades make this more portable than the chargers that come with some Blackberry models that have adapters for different countries.",5,Holds up over time,1316044800,"09 15, 2011"
A1ABWKQZJZPXMG,8288853439,"Carolin Mng ""carolinm""","[0, 0]","so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.",5,Working fine,1389312000,"01 10, 2014"
A2C9H5QRLXXICT,8288853439,c c,"[0, 0]",Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it's fit firmly in usb and has a short.,4,GOOD BUY,1402531200,"06 12, 2014"
A3KUXQ8TR97MF9,8288853439,"Charles A. Kozlowsky ""Book Lover""","[0, 0]",Another very good phone charger that does the job and has a  very affordable price that anyone can afford  to buy it.,4,Very good charger.,1355356800,"12 13, 2012"
A2A817AADURYEF,8288853439,"David LaBedz ""dml""","[0, 0]",Works well. We use this for travel and it lives in our luggage most of the year. For the low price having an extra USB charger this works great. Charges our Galaxy S3 and Note 2.,5,Travel charger.,1388620800,"01 2, 2014"
A3CHJDCPIUK6BZ,8288853439,Jade,"[1, 1]","I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger. For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed. I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about. The connecter doesn't like to stay in place 100% of the time. It does NOT fall out but if you wiggle it just right it disconnects the charge. My phone is also old and the port is a little worn. That could be my issue.If you need a good charger for a cheap price. Buy this!",4,"Buy this if you want a good, long charger",1386633600,"12 10, 2013"
A12B7P0LP6OUBQ,8288853439,John L,"[0, 0]",Bought as a spare charger for the house and turned into my main charger because my other one failed. Nice long cable and has held up for tons of charges for my Galaxy S3.,5,Very Good!,1391040000,"01 30, 2014"
AZW6WE7UXAMU0,8288853439,Karmell  Harris,"[0, 0]",The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I've been thru several!!!!,1,Poor Quality Cell Phone Charger,1386892800,"12 13, 2013"
A1AGQVCNRY2G8G,8288853439,MDB,"[4, 4]","This Charger is awesome! First of all I wasn't expecting it until between 12/12  and 12/17, but it arrived on 12/11,So That was a plus for me! Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things! but I figured what the heck its cheap, so what can I loose!  Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!! Yes i timed it!  and also the cord is long which is a plus for me!  So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!  Love this charger  especially  for the length!!",5,Galaxy S4 Charger,1386720000,"12 11, 2013"
A3FMA2AFK85NMX,8288853439,Nina L Hunter,"[0, 0]",I purchase this for a backup at work.  It charges my SGS4.  I would recommend this charger for the Samsung Galaxy S4.,5,Backup  for work,1393286400,"02 25, 2014"
A2EMKC5VI5MZXB,8288853439,"Suthrn Angel ""Suzy""","[0, 0]",This charger woks wonderfully on the Samsung Galaxy S4.  it chargers the phone fast and the price is great!  Highly Recommended product!,5,Works Great...,1379635200,"09 20, 2013"
AR6VDRB5LTDGH,8288855504,Bigced,"[0, 0]",This is another great product and i will always order from here in the future. money spent well!! If you need a great car charger this is the one you need!!,5,CAME RIGHT IN HANDY!,1366761600,"04 24, 2013"
A1JXWKSVPTLYDL,8288855504,Cron,"[0, 0]",goes into the lighter port a little rough but it charges the phone fine. I wish it had a little more reach so i could use the phone from the passenger seat of the car more comfortably but its not a big problem. it will reach pretty far because of the coiled section but this will put stress on the charge port of your phone which many people dont realize will eventually break it.,4,buy it if you need a car charger,1309392000,"06 30, 2011"
A3AWPJ1XXZM6XL,8288855504,dohmez,"[0, 0]","I purchased two of these chargers for my sister and girlfriend. They both have Samsung Galaxy phones and needed a car charger so being the OEM fanboy I am, I swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price.I'm happy to report I definitely received 2 OEM Samsung car chargers in the mail in sealed bags with part # barcodes (the kind you'd normally receive in a new/refurb phone). Can't go wrong with the price and certainly can't argue with the benefits of OEM vs. generic (mA output and reliability at the top of the list!).",5,OEM Samsung micro USB charger,1314576000,"08 29, 2011"
A2RF9FHC4HC3JO,8288855504,E. Hall,"[0, 0]",I bought this for my Samsung Charge. It works perfectly and is built as solidly as the $20 Verizon charger. I highly recommend this car charger and thanks for the great price!,5,Great product - Great price,1307145600,"06 4, 2011"
A16GNVT2QWNYPM,8288855504,Steve,"[0, 0]","It does what it needs to do, very pleased. I bought some other cheap lame one and will never go back.",5,Awesome,1313712000,"08 19, 2011"
A2VIMRVTUCKF9M,8288855504,zeppbiatch,"[1, 1]","Charger works great. Haven't had any issues with it at all. I wish it has a retractable cord like some other chargers I've used, but other than that, I love it.",4,great charger,1290729600,"11 26, 2010"
A1MMMVGC7A7P1Y,8288862993,alex,"[0, 0]",It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail,3,this is great buy and very useful,1397260800,"04 12, 2014"
A1WK0DH0W21F3G,8288862993,AndyC,"[0, 0]","The big store that is in every town now (can't say their name) either does not carry anything or is always out of stock. If they ever have anything is stock, it is cheap junk that does not last. I got this cord thru amazon for a fraction of the price I usually pay for the junk at that big national store. This cord works perfectly and has lasted for months now. I also bought at the same time 2 other cheaper charger cords thru amazon that work perfectly. Since this one still works, I have the other two to fall back on when this one finally goes out. This is a great car charger, and it does not cost near as much as the junk you get at the local store--not to mention this is the Samsung brand charger verses their junk.",5,It Works Great,1390176000,"01 20, 2014"
AZIN9ATSFV0ZG,8288862993,Aron Edwards,"[0, 0]",Good lengthEasy to useVery fast chargingI would recommend it to persons who use their phone a lot.,4,Very fast charging.,1375660800,"08 5, 2013"
A3AKUUZ992VK0L,8288862993,Aubrey Moore,"[0, 0]",luving it  right now will last about 4 mo so you cant beat the price for it I got 4 of them,5,ok so far,1399593600,"05 9, 2014"
A3YHN4DKZS7WN,8288862993,Boiram,"[0, 0]","JUNK!!!......This product must be miss labeled.  I can not get my Samsung S2 phone to charge with this OEM charger.  The lights are on, the phone says its charging but nothing happens.  I am not sure if I got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge.  If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.  It charges fast and is dependable.",1,FAIL,1375574400,"08 4, 2013"
